Timestamp,SRRL BMS Global Horizontal Irradiance (W/m²_irr),SRRL BMS Direct Normal Irradiance (W/m²_irr),SRRL BMS Diffuse Horizontal Irradiance (W/m²_irr),SRRL BMS Dry Bulb Temperature (°C),SRRL BMS Wind Speed at 19' (m/s),Avg Wind Speed @ 10m [m/s],Peak Wind Speed @ 2m [m/s],Peak Wind Speed @ 10m [m/s]
2024-06-24 16:31:27-06:00,272.8575,96.23873499999999,219.42495,28.5435,2.27975,3.72795,3.00545,4.06775
2024-06-24 16:31:27.500000-06:00,272.94475,96.38175416666667,219.4367083333333,28.54375,2.2747083333333333,3.7243749999999998,2.999458333333333,4.065041666666667
2024-06-24 16:31:28-06:00,273.032,96.52477333333333,219.44846666666666,28.544,2.2696666666666667,3.7207999999999997,2.9934666666666665,4.062333333333333
2024-06-24 16:31:28.500000-06:00,273.11925,96.66779249999999,219.46022499999998,28.54425,2.264625,3.717225,2.987475,4.0596250000000005
2024-06-24 16:31:29-06:00,273.2065,96.81081166666667,219.47198333333333,28.5445,2.2595833333333335,3.71365,2.9814833333333333,4.056916666666667
2024-06-24 16:31:29.500000-06:00,273.29375,96.95383083333333,219.48374166666665,28.54475,2.254541666666667,3.710075,2.9754916666666666,4.054208333333333
2024-06-24 16:31:30-06:00,273.381,97.09684999999999,219.4955,28.545,2.2495000000000003,3.7065,2.9695,4.0515
2024-06-24 16:31:30.500000-06:00,273.46825,97.23986916666667,219.50725833333334,28.54525,2.244458333333333,3.702925,2.9635083333333334,4.048791666666666
2024-06-24 16:31:31-06:00,273.5555,97.38288833333333,219.51901666666666,28.5455,2.2394166666666666,3.69935,2.957516666666667,4.046083333333334
2024-06-24 16:31:31.500000-06:00,273.64275,97.52590749999999,219.530775,28.545749999999998,2.234375,3.695775,2.951525,4.043375
2024-06-24 16:31:32-06:00,273.73,97.66892666666666,219.54253333333332,28.546,2.2293333333333334,3.6921999999999997,2.9455333333333336,4.040666666666667
2024-06-24 16:31:32.500000-06:00,273.81725,97.81194583333333,219.55429166666667,28.54625,2.224291666666667,3.688625,2.9395416666666665,4.037958333333333
2024-06-24 16:31:33-06:00,273.9045,97.954965,219.56605,28.546499999999998,2.21925,3.68505,2.93355,4.0352500000000004
2024-06-24 16:31:33.500000-06:00,273.99175,98.09798416666666,219.57780833333334,28.54675,2.2142083333333336,3.681475,2.9275583333333333,4.032541666666667
2024-06-24 16:31:34-06:00,274.079,98.24100333333332,219.58956666666666,28.547,2.2091666666666665,3.6778999999999997,2.9215666666666666,4.029833333333333
2024-06-24 16:31:34.500000-06:00,274.16625,98.3840225,219.601325,28.54725,2.204125,3.674325,2.915575,4.027125
2024-06-24 16:31:35-06:00,274.2535,98.52704166666666,219.61308333333332,28.5475,2.1990833333333333,3.67075,2.9095833333333334,4.024416666666666
2024-06-24 16:31:35.500000-06:00,274.34075,98.67006083333332,219.62484166666667,28.54775,2.1940416666666667,3.667175,2.903591666666667,4.021708333333334
2024-06-24 16:31:36-06:00,274.428,98.81308,219.6366,28.548,2.189,3.6635999999999997,2.8975999999999997,4.019
2024-06-24 16:31:36.500000-06:00,274.51525,98.95609916666666,219.64835833333333,28.54825,2.1839583333333334,3.660025,2.891608333333333,4.016291666666667
2024-06-24 16:31:37-06:00,274.6025,99.09911833333334,219.66011666666665,28.5485,2.178916666666667,3.65645,2.8856166666666665,4.013583333333333
2024-06-24 16:31:37.500000-06:00,274.68975,99.2421375,219.671875,28.54875,2.1738750000000002,3.652875,2.879625,4.010875
2024-06-24 16:31:38-06:00,274.777,99.38515666666666,219.68363333333332,28.549,2.1688333333333336,3.6492999999999998,2.8736333333333333,4.008166666666667
2024-06-24 16:31:38.500000-06:00,274.86424999999997,99.52817583333334,219.69539166666667,28.54925,2.1637916666666666,3.645725,2.8676416666666666,4.005458333333333
2024-06-24 16:31:39-06:00,274.9515,99.671195,219.70714999999998,28.5495,2.15875,3.64215,2.86165,4.00275
2024-06-24 16:31:39.500000-06:00,275.03875,99.81421416666666,219.71890833333333,28.54975,2.1537083333333333,3.638575,2.8556583333333334,4.000041666666666
2024-06-24 16:31:40-06:00,275.126,99.95723333333333,219.73066666666665,28.55,2.1486666666666667,3.635,2.849666666666667,3.997333333333333
2024-06-24 16:31:40.500000-06:00,275.21325,100.1002525,219.742425,28.55025,2.143625,3.631425,2.843675,3.994625
2024-06-24 16:31:41-06:00,275.3005,100.24327166666666,219.75418333333332,28.5505,2.1385833333333335,3.62785,2.837683333333333,3.9919166666666666
2024-06-24 16:31:41.500000-06:00,275.38775,100.38629083333333,219.76594166666666,28.55075,2.133541666666667,3.624275,2.8316916666666665,3.9892083333333335
2024-06-24 16:31:42-06:00,275.475,100.52931,219.77769999999998,28.551,2.1285,3.6207,2.8257,3.9865
2024-06-24 16:31:42.500000-06:00,275.56225,100.67232916666666,219.78945833333333,28.55125,2.1234583333333332,3.6171249999999997,2.8197083333333333,3.983791666666667
2024-06-24 16:31:43-06:00,275.6495,100.81534833333333,219.80121666666665,28.5515,2.1184166666666666,3.61355,2.8137166666666666,3.9810833333333333
2024-06-24 16:31:43.500000-06:00,275.73675,100.9583675,219.812975,28.55175,2.113375,3.609975,2.807725,3.9783749999999998
2024-06-24 16:31:44-06:00,275.824,101.10138666666666,219.8247333333333,28.552,2.1083333333333334,3.6064,2.8017333333333334,3.9756666666666667
